business_persona,industry,location,years_in_operation,monthly_revenue_avg,monthly_expenses_avg,profit_margin,revenue_growth_rate,cash_flow_variability,num_transactions_per_month,avg_transaction_value,total_debt,debt_to_income_ratio,late_payment_count,missed_payments,repayment_history_score,revenue_volatility,expense_spikes,declining_revenue_trend,cash_flow_gaps,stress_index,payment_stress,liquidity_risk,industry_risk,default_risk
stable,agriculture,urban,16,119128.07931098371,77484.55375904412,0.34956935252208016,0.11081974371239743,0.21372298835172843,413,288.44571261739395,21789.032153911314,0.18290425128932927,1,0,96,25460.409106945153,0,0,2,0.03909084316779093,0.5,0.42744597670345685,0.8,0
stable,agriculture,peri-urban,18,123582.55627557913,96046.85773846135,0.22281217808535536,0.06757769322918757,0.057147091176044953,399,309.7307174826545,14768.423579907922,0.11950249311056108,0,0,100,7062.383611249227,0,0,0,0.006829219869553918,0.0,0.0,0.8,0
stable,manufacturing,urban,6,110366.85097890851,92063.1401367321,0.16584427914568584,0.05923598353044388,0.12247353190340726,590,187.06245928628562,22580.175850187898,0.20459200973762537,1,0,96,13517.018044443947,0,0,1,0.02505710603178327,0.5,0.12247353190340726,0.6,0
growth,retail,peri-urban,8,64700.30551644157,45470.52466451845,0.2972131383063789,0.07085957658353398,0.32130776331225275,343,188.630628327818,48563.7007207354,0.7505946120825419,2,1,80,20788.71045110725,0,0,0,0.24117187596246953,2.5,0.0,0.4,1
stable,services,urban,6,121154.6900747048,103244.46040361119,0.14782943739156984,0.06635420763213845,0.11721763924750424,320,378.60840648345254,42140.51543280701,0.3478240537516367,2,0,92,14201.46675431993,0,0,1,0.040771114454263874,1.0,0.11721763924750424,0.3,0
stable,manufacturing,peri-urban,9,114650.75745571165,89670.11927713396,0.2178846327136342,0.09975440969922225,0.06857543789889485,595,192.69034866506158,32478.236797516187,0.2832797403023018,4,1,72,7862.22589796541,0,0,0,0.019426032239115557,3.5,0.0,0.6,1
growth,retail,urban,2,122519.52018571636,83740.4533130357,0.316513375288272,0.2729077452745277,0.40472556912853247,357,343.19193329332313,77395.5770647972,0.6316999686864605,1,0,96,49586.782536518775,1,0,1,0.2556651293451039,0.5,0.40472556912853247,0.4,0
stable,agriculture,peri-urban,15,123512.68689470635,86944.39368833115,0.2960691255753297,0.050330943370786196,0.24047211228488186,509,242.65753810354883,68662.1646287503,0.5559118367110277,2,0,92,29701.35671155128,0,0,0,0.13368129361806916,1.0,0.0,0.8,0
stable,agriculture,urban,16,135187.5430358572,71889.23306006474,0.4682259071681123,0.0854526420485087,0.11598672575947591,423,319.5923003211754,44272.869291048904,0.3274922252215646,2,1,80,15679.960480197316,0,0,2,0.03798475091513414,2.5,0.23197345151895182,0.8,1
stable,agriculture,rural,19,84560.80591531924,50303.873952404094,0.40511595877197143,0.07371698413780732,0.11968986680029157,320,264.25251848537266,50985.22800708939,0.6029416046264618,2,0,92,10121.071596529868,0,0,0,0.07216600034609529,1.0,0.0,0.8,1
growth,retail,peri-urban,4,41727.29498699614,35397.90709630274,0.15168459620173996,0.3084323868879913,0.28090941708478046,476,87.66238442646248,82998.52350298726,1.9890703082683134,3,1,76,11721.590111321766,0,0,3,0.5587485808362965,3.0,0.8427282512543414,0.4,1
distressed,retail,urban,6,58870.111530623486,39998.79802190373,0.3205584806630295,-0.1850315394873075,0.648037603301571,306,192.3859853941944,180741.94225778413,3.0701817536690834,7,4,24,38150.045982401425,1,1,5,1.9895932253479272,9.5,3.240188016507855,0.4,1
stable,services,rural,6,133119.11244437596,75938.68446200633,0.4295433385364747,0.10314988927892729,0.07867406233906422,605,220.03159081715035,67478.92134900058,0.5069063345595604,1,0,96,10473.021350969735,0,0,2,0.039880380565205396,0.5,0.15734812467812845,0.3,1
growth,retail,peri-urban,6,141727.22362560921,98156.92840225557,0.30742361353560566,0.15742032105716058,0.2530570665713713,444,319.20545861623697,89854.5226398605,0.6339962100522257,3,0,88,35865.07546400141,0,0,3,0.16043722113318318,1.5,0.7591711997141138,0.4,1
growth,manufacturing,rural,8,76690.6595832402,43228.14785118818,0.4363309940727754,0.3028389598684877,0.3047427375956947,555,138.1813686184508,62450.79654054116,0.8143207644831498,2,0,92,23370.921549416114,0,0,1,0.24815833904961404,1.0,0.3047427375956947,0.6,1
stable,services,rural,14,139440.6536484558,112601.16912800605,0.1924796235401682,0.09529979878157745,0.08319979311831283,764,182.51394456604163,31339.072026245478,0.22474845897706772,0,0,100,11601.433535833836,0,0,2,0.01869902529055165,0.0,0.16639958623662565,0.3,0
growth,services,peri-urban,4,96479.98508419322,85978.73633261003,0.10884380571181969,0.25296368203618363,0.32405610363061604,672,143.57140637528752,78576.36760411235,0.814431796766373,3,0,88,31264.92804472361,0,0,5,0.2639215947329926,1.5,1.6202805181530802,0.3,1
stable,retail,peri-urban,5,122979.05462858785,102670.09201330731,0.16514163876617977,0.013035806830010405,0.24431962250440992,377,326.2043889352463,31480.63252818274,0.255983692696762,2,0,92,30046.19620280579,0,0,3,0.06254183916695777,1.0,0.7329588675132297,0.4,1
stable,agriculture,rural,10,136007.53198757253,78256.65203307132,0.4246153070388638,0.13254644988652295,0.1694228352333384,391,347.8453503518479,20533.650685157572,0.15097436432442435,0,0,100,23042.7816824235,1,0,0,0.02557850485139495,0.0,0.0,0.8,0
seasonal,retail,urban,14,52178.77607326201,27738.539059998286,0.46839421796609837,-0.0019477367177238927,0.5756194841794426,307,169.96343997805215,40433.98498501888,0.7749124841151358,2,2,68,30035.12016840572,0,1,4,0.44605472439056504,4.0,2.3024779367177706,0.4,1
seasonal,agriculture,urban,11,75812.64478633806,65042.400259750626,0.1420639598702973,0.12218838855908472,0.4831254870539087,294,257.86613872904104,67073.33306248958,0.8847248800186513,2,3,56,36627.020937244546,1,0,3,0.42743313856772186,5.5,1.4493764611617261,0.8,1
distressed,manufacturing,urban,2,54894.657812153535,47871.01262387121,0.12794769961617844,-0.09376636374614636,0.6356584919350889,289,189.94691284482192,133171.77878559197,2.425951524122773,6,4,28,34894.255400166265,0,1,5,1.5420766873315126,9.0,3.1782924596754447,0.6,1
stable,retail,rural,6,145819.05204005423,83176.39822505869,0.42959169558850635,0.12630362495038158,0.15651677187192914,596,244.66283899337958,37513.18276403427,0.2572584462675699,1,0,96,22823.12730273413,0,0,1,0.040265261546588174,0.5,0.15651677187192914,0.4,1
stable,manufacturing,rural,12,110900.13176704766,66709.5217255163,0.3984721148425357,0.134741235328686,0.12372236211568853,573,193.54298737704653,44928.02295714266,0.4051214569475594,0,0,100,13720.826261160242,0,0,1,0.05012258359730127,0.0,0.12372236211568853,0.6,0
growth,services,peri-urban,4,70673.32343226425,41373.712666042404,0.4145780804309225,0.27571647279467193,0.3296015746322357,275,256.99390339005186,142730.42188631272,2.0195798775914433,1,0,96,23294.03868776758,0,0,1,0.6656567077497175,0.5,0.3296015746322357,0.3,1
stable,agriculture,rural,7,134955.589586262,84836.40175060161,0.37137541312155,0.12172813033298116,0.19878068639593965,513,263.07132472955556,41540.175973357575,0.3078062650143556,1,1,84,26826.56473092589,0,0,1,0.06118594063652411,2.0,0.19878068639593965,0.8,0
stable,retail,rural,6,114341.89103808682,102825.60107043751,0.10071802961360225,0.05462357937450669,0.19662844237924032,630,181.49506513982035,47449.63890365579,0.4149803582297804,2,0,92,22482.86793351583,0,0,1,0.08159694145670088,1.0,0.19662844237924032,0.4,0
growth,manufacturing,urban,6,125741.35576552383,112123.67140198991,0.10829916920036628,0.07918459475644749,0.24368392867757654,305,412.2667402148322,109005.12294242004,0.8668995357874726,1,1,84,30641.147570187684,0,0,3,0.2112494846494587,2.0,0.7310517860327297,0.6,1
stable,agriculture,urban,15,129808.52817354561,75114.92280868723,0.421340617095177,0.030907085227086503,0.11286504491050285,795,163.28116751389385,21095.26250743971,0.1625106054606575,1,0,96,14650.8453620735,0,0,1,0.018341766783750116,0.5,0.11286504491050285,0.8,0
seasonal,retail,rural,9,55686.014741533756,38848.96635599023,0.3023568568103242,0.2652815534831946,0.40623190377490437,395,140.97725251021205,58398.6895235043,1.048713753256745,3,2,64,22621.435782090648,0,0,3,0.4260209845004128,4.5,1.2186957113247132,0.4,1
stable,retail,urban,10,96666.15608121466,59300.14335360053,0.3865470009609242,0.15702581674231098,0.11854685397347534,480,201.3878251691972,43220.605671306424,0.44711207545063,0,0,100,11459.46868913693,0,0,0,0.053003729918223316,0.0,0.0,0.4,0
growth,retail,urban,5,53969.33406505592,49622.75239212688,0.0805379897348662,0.31265527909751395,0.407937716187044,319,169.1828654076988,62075.901965328325,1.1502069284475616,0,1,88,22016.126882634548,0,0,3,0.469212787533413,1.5,1.223813148561132,0.4,1
stable,services,urban,10,106547.17445197223,62246.29108547835,0.4157865620966155,0.18002057046186584,0.2191794273761255,777,137.1263506460389,28949.024457667947,0.2717014750186281,0,0,100,23352.94868492742,0,0,3,0.05955137371183158,0.0,0.6575382821283765,0.3,0
growth,agriculture,rural,2,81349.5302281245,69195.43977220192,0.1494057854033017,0.1007309788285474,0.3337791297271001,434,187.44131388968776,57925.25477113483,0.7120539554278664,2,0,92,27152.775403251817,0,0,3,0.2376687495614526,1.0,1.0013373891813004,0.8,1
growth,retail,peri-urban,2,82045.32114180557,49956.31360776661,0.3911131931408609,0.26527411993524413,0.21508776623816453,563,145.72881197478787,74130.35177959554,0.9035293024384663,3,0,88,17646.944854683814,0,0,5,0.1943380993922167,1.5,1.0754388311908227,0.4,0
stable,agriculture,rural,12,124364.52845630284,71914.33631619187,0.4217455957189598,0.10783698883142583,0.10336298001929832,463,268.6058929941746,55428.78600286662,0.44569610556069666,0,0,100,12854.688269938288,0,0,1,0.046068477653749364,0.0,0.10336298001929832,0.8,0
seasonal,manufacturing,peri-urban,13,54595.8928025183,44569.97417575316,0.1836386972007294,0.22763242247706708,0.6054897426624816,417,130.92540240412063,51518.001331808395,0.9436241205571433,6,1,64,33057.25308342523,1,0,5,0.5713547259262551,4.5,3.027448713312408,0.6,1
distressed,manufacturing,peri-urban,5,25285.1441960292,23413.554000003798,0.07401936020279123,-0.05402252413582223,0.8564708675225179,154,164.18924802616363,90825.38597456214,3.5920454030404714,5,2,56,21655.989385005087,0,1,6,3.076482242522345,5.5,5.138825205135108,0.6,1
seasonal,agriculture,urban,6,101619.51290231553,73056.65423619021,0.28107651621575996,-0.3044574922251235,0.492370683848329,166,612.1657403753948,83784.19248206602,0.8244892155958847,4,2,60,50034.46906004719,0,1,1,0.40595431890851813,5.0,0.492370683848329,0.8,1
distressed,retail,rural,3,46726.47216725435,36428.92481325363,0.22037930270321554,-0.28714205066734616,0.6516207516011189,379,123.28884476848114,136692.7063346841,2.925380410603255,7,2,48,30447.938913295042,1,1,7,1.9062385818764829,6.5,4.5613452612078325,0.4,1
growth,manufacturing,urban,3,66993.91222939633,50842.273007811236,0.24109114819686406,0.013841507349113186,0.30537411670965753,485,138.13177779256975,107736.47931243909,1.6081532743383402,1,1,84,20458.206771976227,0,0,0,0.4910883856848142,2.0,0.0,0.6,1
seasonal,agriculture,rural,7,90137.00260598733,55464.72476841931,0.38466197937743407,0.022265952251602626,0.5800553764203229,421,214.10214395721457,125286.74882437853,1.389959120030206,5,2,56,52284.45297601561,0,0,7,0.8062532605779819,5.5,4.06038763494226,0.8,1
stable,manufacturing,urban,6,130328.11896782297,105545.56150130171,0.1901551074533646,0.09572991244658662,0.09270063452899516,394,330.78202783711413,32381.69388459608,0.24846283473630795,2,0,92,12081.49932528756,1,0,0,0.023032662436928607,1.0,0.0,0.6,0
stable,retail,urban,19,104246.454071514,79230.99389888936,0.23996461458021218,0.08538414271154561,0.18171527363262902,365,285.60672348360004,39724.57274356529,0.3810640188904063,0,0,100,18943.17292683646,0,0,1,0.0692451524642195,0.0,0.18171527363262902,0.4,0
stable,services,urban,18,135713.68499145462,78194.75907142661,0.4238255406862599,0.07365093658380799,0.18250182720043634,413,328.60456414395793,38539.73508564106,0.2839782523631848,2,1,80,24767.9954870449,0,0,1,0.051826549941467855,2.5,0.18250182720043634,0.3,1
stable,retail,urban,12,128280.25883889382,64651.07086143647,0.4960169908712825,0.03487719580039751,0.05412436014857767,386,332.332276784699,61132.82962251809,0.4765567997433988,1,1,84,6943.086929349052,0,0,2,0.025793331860565323,2.0,0.10824872029715533,0.4,1
stable,services,urban,16,110848.22189480998,65331.89737869097,0.4106184450961421,0.1344180304598799,0.2242537045640844,770,143.95872973351945,20471.8922219082,0.18468399286851092,4,0,84,24858.124404252787,0,0,1,0.041416069574450515,2.0,0.2242537045640844,0.3,1
stable,retail,urban,18,85901.69838542069,54538.422026219305,0.3651065921709924,0.057355593708482124,0.10158932751565009,676,127.07351832162824,25369.700675988417,0.29533409877602823,1,0,96,8726.695771427092,0,0,2,0.030002792487097286,0.5,0.20317865503130017,0.4,0
distressed,agriculture,rural,5,46828.17663619567,29130.66171788038,0.37792449310606,-0.06974883155624578,0.4701412601026424,348,134.56372596607952,78692.97883928052,1.6804621595805433,4,5,24,22015.85797205015,1,1,2,0.7900545972600044,9.5,0.9402825202052848,0.8,1
stable,agriculture,rural,18,142733.15752268521,111949.25564621217,0.21567449645735204,-0.01905499578285999,0.05946735776183165,789,180.90387518718023,36971.29599578388,0.25902387810560323,0,0,100,8487.963742877395,0,1,2,0.01540346562816298,0.0,0.1189347155236633,0.8,0
stable,manufacturing,urban,12,122200.88117814648,99903.78888706067,0.1824626146400756,0.05416437521237195,0.11297803733856562,712,171.63045109290235,18271.284297595685,0.14951843326693776,2,1,80,13806.015716550253,0,0,0,0.016892299136435925,2.5,0.0,0.6,0
growth,retail,urban,8,69714.07293086572,44768.09047279371,0.3578328077719763,0.33017855559667786,0.41218139262404874,554,125.83767677051574,49949.9844142972,0.7164978649839002,4,0,84,28734.84366613873,1,0,0,0.29532708780122163,2.0,0.0,0.4,1
stable,services,urban,16,109491.51921441777,98211.79226896029,0.10301918382709022,0.1606337906460535,0.13204720325751357,398,275.1043196342155,30624.367980999003,0.2796962559358333,1,1,84,14458.048892680175,0,0,2,0.036933108357924516,2.0,0.26409440651502714,0.3,0
distressed,services,peri-urban,1,47322.66713361551,26590.678435983653,0.438098483314457,-0.13463486701681973,0.639301713682232,382,123.88132757490972,126825.1498164219,2.680008492723607,4,3,48,30253.462194534233,0,1,6,1.7133340220811377,6.5,3.8358102820933917,0.3,1
stable,manufacturing,peri-urban,5,140504.21551470217,77161.35081181499,0.450825368269887,0.12731489197883183,0.0850280638580585,657,213.85725344703528,48582.18565421677,0.3457703064370563,1,0,96,11946.80140911051,0,0,1,0.02940017969595048,0.5,0.0850280638580585,0.6,0
seasonal,retail,urban,13,102812.7858556321,90187.01970082181,0.12280346310758634,-0.17154917531177014,0.552431304047134,489,210.25109581928854,81508.79359499409,0.7927884933440797,2,1,80,56797.00136294558,0,1,6,0.43796118121163263,2.5,3.314587824282804,0.4,1
distressed,retail,peri-urban,1,62066.79183721982,47112.88842483482,0.24093243697215777,-0.06509895149079012,0.5848625392585254,381,162.90496545202052,80786.3238435916,1.3016030223612456,4,4,36,36300.5414775467,0,1,5,0.7612588487647692,8.0,2.9243126962926267,0.4,1
stable,agriculture,rural,18,87716.63470988629,76131.83673622094,0.1320707071353213,0.03270597926199774,0.22975943885382394,388,226.07380079867602,0.0,0.0,1,0,96,20153.72476908933,0,0,1,0.0,0.5,0.22975943885382394,0.8,0
stable,agriculture,rural,7,119486.49479291026,107991.70857124777,0.09620155182880581,0.03610434467217648,0.06010302359404867,597,200.14488240018468,39929.10137526757,0.33417250580888885,0,0,100,7181.499615708459,0,0,1,0.020084778001114013,0.0,0.06010302359404867,0.8,0
distressed,agriculture,rural,5,51702.9782900461,34938.77370192981,0.32424059778668013,-0.11316773164164573,0.4890186124363935,123,420.3494169922447,120944.5411109448,2.339218070426499,4,2,60,25283.71870222732,1,1,2,1.1439211749861045,5.0,0.978037224872787,0.8,1
distressed,agriculture,rural,3,53622.33410453609,32695.01760664544,0.3902723901778147,-0.01948637300773738,0.7407193333186168,180,297.9018561363116,81548.29012209593,1.520789638942582,6,1,64,39719.0995689001,1,1,5,1.1264782874754093,4.5,3.703596666593084,0.8,1
distressed,retail,urban,7,54210.46849472101,49448.70883520111,0.08783837867004593,-0.1478603703224835,0.6676613798164023,320,169.40771404600315,115437.90475407938,2.129439349252639,4,5,24,36194.236195679034,0,1,6,1.4217444141573585,9.5,4.005968278898414,0.4,1
distressed,retail,peri-urban,2,93336.64558785607,86504.11193230924,0.07320311987337798,-0.22820515457923973,0.7674777243869808,131,712.4934777698936,181951.01197219387,1.9494059468949603,6,2,52,71633.7963576819,1,1,3,1.4961256400293916,6.0,2.302433173160942,0.4,1
stable,retail,peri-urban,12,129304.28162689946,72880.24533164507,0.43636634135645186,0.03848083939438884,0.24873843508136623,432,299.3154667289339,52111.44775443398,0.4030140927954633,0,1,88,32162.94466119523,0,0,0,0.10024509475768005,1.5,0.0,0.4,0
stable,agriculture,peri-urban,11,162361.3472511788,91561.73133881303,0.4360620129792114,0.1213378495182548,0.06056744755859698,791,205.26086883840557,34825.76027178288,0.21449538859705433,0,0,100,9833.812385178926,0,0,0,0.012991438200412968,0.0,0.0,0.8,0
stable,services,urban,18,135723.7688256405,113034.02756273533,0.1671758856921655,0.07782176096917111,0.1512049288900753,699,194.1684818678691,39201.0616000947,0.28882974544020296,2,0,92,20522.10281397399,0,0,1,0.04367248112062444,1.0,0.1512049288900753,0.3,1
distressed,agriculture,peri-urban,6,70110.13995921044,65442.17405053794,0.066580467695376,-0.063136541643705,0.8527774967320434,362,193.67441977682444,153513.53133937973,2.1896052615027264,7,1,60,59788.34964994869,1,1,5,1.8672460937356063,5.0,4.263887483660217,0.8,1
growth,services,rural,5,53914.67342453566,27061.228797781365,0.4980730276395172,0.2328248323034392,0.31318545370993356,338,159.51086811992798,102844.27292486912,1.9075377145485302,4,0,84,16885.291458086096,1,0,1,0.5974130645996911,2.0,0.31318545370993356,0.3,0
stable,retail,urban,10,128711.47965750856,102235.92192645211,0.20569694172971903,0.06216698542824721,0.09066425812163531,381,337.82540592521934,35401.082130366216,0.27504215027723866,0,1,88,11669.53081488597,0,0,3,0.024936492507065176,1.5,0.27199277436490593,0.4,1
stable,services,rural,16,104228.2857614402,93854.27995062679,0.09953157854440439,0.20383982926647737,0.053422917174432795,303,343.98774178693134,27882.35347015354,0.267512348173616,1,0,96,5568.179077466533,1,0,2,0.014291290019617117,0.5,0.10684583434886559,0.3,0
stable,services,urban,15,118006.21808743279,79533.84717056072,0.32601986183785026,0.11985802203233506,0.24082841421718099,685,172.27185122252962,46296.51445345411,0.39232266912538666,0,0,100,28419.25036976326,0,0,0,0.09448244626691867,0.0,0.0,0.3,0
stable,manufacturing,urban,14,110222.31530614429,93520.54029616417,0.15152807272820087,0.13592042382134925,0.12860565165660276,331,332.99793143850235,54578.78040730367,0.4951699685831332,0,0,100,14175.212687046227,0,0,0,0.06368165649041337,0.0,0.0,0.6,0
distressed,services,urban,1,50907.33642581744,34514.52944238944,0.3220126632890276,-0.21545058485177998,0.8946967288121016,386,131.8842912585944,118269.07244155534,2.323222559756155,4,3,48,45546.62737271601,0,1,2,2.0785796245163093,6.5,1.7893934576242032,0.3,1
growth,manufacturing,peri-urban,4,68199.52824984808,57868.951209223014,0.1514757844479383,0.37025931433503984,0.42086623377802324,519,131.40564209989995,54202.89386123759,0.7947693371523921,2,1,80,28702.878599951462,1,0,2,0.3344915776495832,2.5,0.8417324675560465,0.6,1
distressed,retail,rural,7,48655.85521812719,35050.14880687542,0.27963143079607894,-0.2580281726379053,0.8665735230752235,189,257.43838739749833,132011.4756635002,2.7131673068263757,6,4,28,42163.87587461047,1,1,8,2.3511589517690483,9.0,6.932588184601788,0.4,1
growth,services,rural,5,111171.34233497959,68696.25159695052,0.3820687044512232,0.332034370126064,0.24313126353060874,414,268.52981240333236,56803.5938463561,0.5109553654141954,2,0,92,27029.228930297442,0,0,1,0.12422922360089722,1.0,0.24313126353060874,0.3,1
stable,manufacturing,peri-urban,17,110093.51178912591,76554.74756139569,0.3046388809176209,0.10705674453726495,0.24775242754732535,432,254.84609210445814,47318.621347868124,0.429803905597113,1,0,96,27275.93480296603,1,0,0,0.10648496098100621,0.5,0.0,0.6,0
distressed,services,peri-urban,1,13162.048484632069,10129.697542977236,0.2303859422182944,-0.25527840398123525,0.6142563782366426,328,40.128196599488014,216184.9796828988,16.424873372508475,6,2,52,8084.872232345185,0,1,6,10.089083230792525,6.0,3.6855382694198555,0.3,1
distressed,retail,rural,4,85543.74251999256,79413.73531349786,0.07165932920297528,-0.10289559310758498,0.5256329162869712,185,462.398608216176,154728.8635413122,1.808768929009042,10,3,24,44964.606850885466,0,1,5,0.9507484870442843,9.5,2.6281645814348558,0.4,1
growth,agriculture,urban,2,91171.15180987614,77019.60647561819,0.15521955194521284,0.33967313006466493,0.22497327063438893,357,255.3813776187007,36550.667137791184,0.4009016713314334,2,0,92,20511.072210172224,1,0,2,0.09019216020222541,1.0,0.44994654126877787,0.8,1
distressed,retail,rural,6,55800.59281108508,40903.15544895902,0.26697632787812614,-0.18274076383233578,0.4590104709009963,242,230.5809620292772,121030.21403693051,2.168977208659461,5,2,56,25613.056382770912,1,1,7,0.9955832499203078,5.5,3.213073296306974,0.4,1
growth,services,urban,5,85252.28232321626,58618.92378011081,0.31240639918742147,0.31399189059750987,0.24645509387977133,540,157.87459689484493,83491.68193949833,0.9793483489738963,1,1,84,21010.859243433035,0,0,1,0.24136538928736068,2.0,0.24645509387977133,0.3,1
growth,services,peri-urban,2,61502.444657282846,51930.25677568644,0.15563914467037226,0.21000122832492962,0.37220283038218904,313,196.49343340984936,87245.85305321138,1.4185753678472701,3,0,88,22891.383976864614,1,0,4,0.5279977670232089,1.5,1.4888113215287562,0.3,1
stable,services,peri-urban,10,87946.83458632472,55614.083900082864,0.367639731871253,0.13309448017585207,0.07241421011201464,607,144.88770113068324,11034.077619489814,0.12546304447898293,1,0,96,6368.600558420715,1,0,1,0.009085307264194108,0.5,0.07241421011201464,0.3,0
stable,retail,rural,17,130286.23836503156,100812.20018412152,0.22622526024836695,0.13366611377653945,0.14321160366376753,762,170.97931543967397,37995.10400106367,0.2916279146429132,3,1,76,18658.501131576046,0,0,0,0.04176450132913192,3.0,0.0,0.4,1
stable,services,rural,11,141143.69077102182,90905.7029874051,0.355935058160822,0.1151985088947167,0.1975277952039048,721,195.76101355204136,55605.41359257311,0.39396315406532817,3,0,88,27879.802044941665,0,0,1,0.07781867321410053,1.5,0.1975277952039048,0.3,1
stable,manufacturing,rural,6,113459.84674696188,65620.95494201093,0.42163719744520045,0.07549527699668551,0.05533154498660549,648,175.09235609099056,57794.174068478394,0.5093799764895766,3,0,88,6277.908614452886,0,0,0,0.02818478108440905,1.5,0.0,0.6,0
growth,services,peri-urban,8,117299.34873680375,63019.728258696916,0.46274443176917746,0.20907381026639954,0.33559500882918347,561,209.08974819394606,132200.5890952649,1.1270360024921926,0,0,100,39365.07597498513,0,0,1,0.378227657207175,0.0,0.33559500882918347,0.3,1
stable,services,rural,10,123860.9554290676,101587.85034197886,0.17982345614832634,0.0021778853938713844,0.15721426477420036,434,285.39390651858895,41544.10017659118,0.3354091693599324,2,1,80,19472.709042010865,0,0,1,0.05273110595944703,2.5,0.15721426477420036,0.3,1
growth,retail,rural,2,96835.19135605173,71928.72003547307,0.2572047514110904,0.20431386222086806,0.4032507509704399,621,155.9342855975068,124168.89031276948,1.2822703045653612,3,1,76,39048.863634694106,0,0,2,0.5170764632630765,3.0,0.8065015019408798,0.4,1
seasonal,agriculture,urban,13,70487.71303137056,62840.80681080244,0.1084856621346881,-0.007401637654312433,0.5012993171439392,307,229.60167111195622,83091.93508711262,1.1788144559340796,2,1,80,35335.442409664,0,1,7,0.5909388817991583,2.5,3.5090952200075742,0.8,1
